date,open,high,low,close,adj close,volume,amount,pctChg,EPS(TTM),PE(TTM),50.79x/interval maximum,40.10x/75% quantile,29.40x/50% quantile,18.71x/25% quantile,8.02x/interval min.,BPS(MRQ),PB(MRQ),7.58x/interval maximum,5.98x/75% quantile,4.37x/50% quantile,2.77x/25% quantile,1.17x/interval min.,Operating income per share (TTM),PS(TTM),5.27x/interval maximum,4.16x/75% quantile,"3.04x/50%
Quartile",1.92x/25% quantile,0.81x/interval min.,close_5_sma,ma5,close_30_sma,ma10,bias,rs_14,rsi_14,rsi,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,boll,boll_ub,boll_lb
2010/1/7,3543.16,3558.556,3452.769,3471.456,3471.456,8035003700,1.20E+11,-1.984089,125.24,27.72,6361.4,5022.06,3682.73,2343.39,1004.06,1055.57,3.29,7998.17,6307.3,4616.43,2925.57,1234.7,1425.59,2.44,7516.28,5925.04,4333.8,2742.55,1151.31,3528.1125,3528.1125,3528.1125,3528.1125,-1.605858657,0.273006504,21.44580589,21.44580589,-2.64267829,-0.719387664,-1.923290626,12.88945296,33.78204176,33.78204176,40.82513235,40.82513235,19.69586057,19.69586057,3528.1125,3607.582408,3448.642592
2010/1/8,3456.908,3482.083,3426.698,3480.13,3480.13,6079025300,90190959969,0.249861,125.62,27.7,6380.82,5037.39,3693.97,2350.54,1007.12,1058.79,3.29,8022.54,6326.52,4630.5,2934.48,1238.46,1429.97,2.43,7539.4,5943.26,4347.12,2750.99,1154.85,3518.516,3518.516,3518.516,3518.516,-1.090971307,0.375670527,27.30817585,27.30817585,-3.749452874,-1.620763559,-2.128689315,31.23764981,32.93391111,32.93391111,38.19472527,38.19472527,22.41228279,22.41228279,3518.516,3599.623681,3437.408319
2010/1/11,3593.106,3594.528,3465.317,3482.052,3482.052,8998017200,1.34E+11,0.055231,125.15,27.82,6356.74,5018.38,3680.03,2341.67,1003.32,1054.78,3.3,7992.2,6302.6,4612.99,2923.39,1233.78,1424.56,2.44,7510.85,5920.76,4330.66,2740.57,1150.47,3507.8806,3507.8806,3512.438667,3512.438667,-0.736302142,0.400168882,28.58004394,28.58004394,-4.262111401,-2.336715681,-1.925395721,32.36129787,32.74304003,32.74304003,36.37749686,36.37749686,25.47412637,25.47412637,3512.438667,3590.855376,3434.021957
2010/1/12,3477.842,3535.407,3437.661,3534.916,3534.916,9374327800,1.34E+11,1.518186,124.9,28.3,6343.75,5008.13,3672.51,2336.89,1001.27,1052.21,3.36,7972.74,6287.25,4601.76,2916.27,1230.78,1421.07,2.49,7492.46,5906.26,4320.06,2733.86,1147.66,3502.0562,3502.0562,3515.649714,3515.649714,0.938300191,1.125820633,52.95934264,52.95934264,-2.122642641,-2.282539505,0.159896864,63.26688103,42.9176537,42.9176537,38.55754914,38.55754914,51.63786281,51.63786281,3515.649714,3589.222944,3442.076485
2010/1/13,3448.291,3490.112,3415.693,3421.144,3421.144,11245790100,1.60E+11,-3.21852,125.65,27.23,6381.86,5038.22,3694.57,2350.93,1007.29,1055.94,3.24,8000.97,6309.51,4618.05,2926.59,1235.13,1427.2,2.4,7524.78,5931.73,4338.69,2745.65,1152.61,3477.9396,3477.9396,3503.8365,3503.8365,-1.633024334,0.419791911,29.56714347,29.56714347,-6.064908425,-3.191513884,-2.873394541,2.994150119,29.60981917,29.60981917,35.57497248,35.57497248,17.67951255,17.67951255,3503.8365,3599.258701,3408.414299
2010/1/14,3433.472,3470.323,3411.812,3469.051,3469.051,8335325200,1.18E+11,1.400321,126.06,27.52,6402.78,5054.73,3706.68,2358.63,1010.59,1059.41,3.27,8027.29,6330.26,4633.24,2936.22,1239.2,1431.89,2.42,7549.52,5951.24,4352.96,2754.68,1156.4,3477.4586,3477.4586,3499.971444,3499.971444,-0.241774266,0.704173471,41.32052769,41.32052769,-6.325732528,-3.91553394,-2.410198588,30.78424834,30.00129556,30.00129556,33.71708017,33.71708017,22.56972633,22.56972633,3499.971444,3592.194075,3407.748814
2010/1/15,3472.524,3500.072,3448.661,3482.738,3482.738,7254310200,1.04E+11,0.394546,126.36,27.56,6418.41,5067.07,3715.73,2364.39,1013.05,1061.58,3.28,8043.73,6343.23,4642.73,2942.23,1241.73,1435.35,2.43,7567.75,5965.61,4363.47,2761.33,1159.19,3477.9802,3477.9802,3498.2481,3498.2481,0.136797789,0.791670923,44.1861791,44.1861791,-5.713713529,-4.318430552,-1.395282977,38.8176186,32.94006991,32.94006991,33.45807675,33.45807675,31.90405622,31.90405622,3498.2481,3585.876912,3410.619288
2010/1/18,3471.777,3501.26,3458.042,3500.684,3500.684,8285430700,1.18E+11,0.515285,127.99,27.35,6500.92,5132.21,3763.5,2394.79,1026.08,1064.75,3.29,8067.71,6362.15,4656.58,2951.01,1245.44,1439.78,2.43,7591.1,5984.02,4376.93,2769.85,1162.77,3481.7066,3481.7066,3498.469545,3498.469545,0.545060287,0.915219994,47.78667709,47.78667709,-4.235245343,-4.300230103,0.064984761,48.63941855,38.17318612,38.17318612,35.02977988,35.02977988,44.45999861,44.45999861,3498.469545,3581.614512,3415.324579
2010/1/19,3506.806,3528.39,3497.094,3507.482,3507.482,7488323200,1.08E+11,0.194186,127.92,27.42,6497.58,5129.57,3761.56,2393.56,1025.55,1064.1,3.3,8062.78,6358.26,4653.73,2949.2,1244.68,1438.91,2.44,7586.5,5980.39,4374.28,2768.17,1162.06,3476.2198,3476.2198,3499.220583,3499.220583,0.899315975,0.965620822,49.12548804,49.12548804,-2.720266201,-3.960920118,1.240653918,52.35994658,42.90210628,42.90210628,37.65388868,37.65388868,53.39854148,53.39854148,3499.220583,3578.666778,3419.774388
2010/1/20,3512.246,3515.449,3387.818,3394.434,3394.434,9249514600,1.28E+11,-3.223049,127.54,26.61,6478.34,5114.38,3750.42,2386.47,1022.51,1060.36,3.2,8034.48,6335.93,4637.39,2938.85,1240.31,1433.94,2.37,7560.33,5959.76,4359.19,2758.62,1158.05,3470.8778,3470.8778,3491.160077,3491.160077,-2.202434208,0.507522127,33.66598195,33.66598195,-7.946505814,-4.804408523,-3.142097291,3.200619225,29.66827726,29.66827726,34.9920182,34.9920182,19.02079537,19.02079537,3491.160077,3586.890191,3395.429963
