Date,Open,High,Low,Close,Adj Close,Volume,Amount,PctChg,EPS(TTM),PE(TTM),50.79x/interval maximum,40.10x/75% quantile,29.40x/50% quantile,18.71x/25% quantile,8.02x/interval min.,BPS(MRQ),PB(MRQ),7.58x/interval maximum,5.98x/75% quantile,4.37x/50% quantile,2.77x/25% quantile,1.17x/interval min.,Operating income per share (TTM),PS(TTM),5.27x/interval maximum,4.16x/75% quantile,"3.04x/50%
Quartile",1.92x/25% quantile,0.81x/interval min,ma5,close_5_sma,boll
2010/1/29,3190.315,3249.455,3176.916,3204.155,3206.57,5026261300,68018118702,-0.075315,52.06,84.03,"5,133.22","4,052.87","2,972.52","1,892.17",811.82,"1,096.62",3.99,"6,504.73","5,272.13","4,039.52","2,806.92","1,574.31","1,764.97",2.48,"6,736.18","5,387.39","4,038.60","2,689.81","1,341.02",3236.0204,3236.0204,3416.9977
2010/2/1,3198.23,3198.311,3116.439,3152.707,3204.155,5700138000,75982150475,-1.605665,52.16,83.05,"5,142.90","4,060.51","2,978.13","1,895.74",813.35,"1,097.33",3.95,"6,508.90","5,275.51","4,042.11","2,808.72","1,575.32","1,765.38",2.45,"6,737.76","5,388.65","4,039.55","2,690.44","1,341.34",3200.959,3200.959,3397.8716
2010/2/2,3170.778,3211.941,3143.085,3146.189,3152.707,5013003300,68318412373,-0.206745,52.17,82.46,"5,144.02","4,061.39","2,978.77","1,896.15",813.53,"1,097.33",3.92,"6,508.95","5,275.54","4,042.14","2,808.74","1,575.33","1,765.77",2.44,"6,739.24","5,389.84","4,040.43","2,691.03","1,341.63",3181.6374,3181.6374,3376.97915
2010/2/3,3160.712,3231.102,3094.568,3230.715,3146.189,6479889400,87536249983,2.686619,52.39,83.28,"5,165.69","4,078.51","2,991.33","1,904.14",816.96,"1,097.66",3.97,"6,510.87","5,277.10","4,043.33","2,809.56","1,575.80","1,765.79",2.47,"6,739.30","5,389.88","4,040.47","2,691.06","1,341.64",3188.0672,3188.0672,3361.42855
2010/2/4,3206.431,3242.519,3190.437,3218.802,3230.715,5897272600,75466552963,-0.368745,52.48,84,"5,174.90","4,085.78","2,996.66","1,907.53",818.41,"1,098.57",4.01,"6,516.26","5,281.47","4,046.68","2,811.89","1,577.10","1,767.34",2.49,"6,745.21","5,394.61","4,044.02","2,693.42","1,342.82",3190.5136,3190.5136,3348.79585
2010/2/5,3147.721,3177.42,3129.921,3153.087,3218.802,5910584500,73693132366,-2.041601,52.8,81.65,"5,206.28","4,110.56","3,014.83","1,919.10",823.38,"1,102.32",3.91,"6,538.54","5,299.52","4,060.51","2,821.50","1,582.49","1,770.77",2.43,"6,758.32","5,405.10","4,051.88","2,698.65","1,345.43",3180.3,3180.3,3332.4437
2010/2/8,3152.253,3172.306,3133.808,3150.988,3153.087,3735595100,47902429250,-0.066566,53.15,81.11,"5,240.67","4,137.71","3,034.74","1,931.78",828.82,"1,103.24",3.91,"6,543.95","5,303.92","4,063.88","2,823.84","1,583.81","1,772.50",2.43,"6,764.92","5,410.37","4,055.83","2,701.29","1,346.74",3179.9562,3179.9562,3315.8905
2010/2/9,3147.761,3178.947,3144.478,3169.19,3150.988,3595315800,45222660374,0.577657,53.83,80.1,"5,307.83","4,190.73","3,073.63","1,956.54",839.44,"1,102.59",3.91,"6,540.11","5,300.80","4,061.49","2,822.18","1,582.88","1,773.05",2.43,"6,767.04","5,412.07","4,057.10","2,702.13","1,347.17",3184.5564,3184.5564,3297.6042
2010/2/10,3195.142,3214.456,3182.834,3214.13,3169.19,3421989400,48152144637,1.418026,53.84,81.09,"5,309.01","4,191.67","3,074.32","1,956.97",839.62,"1,099.62",3.97,"6,522.49","5,286.52","4,050.55","2,814.58","1,578.61","1,772.95",2.46,"6,766.65","5,411.76","4,056.87","2,701.98","1,347.09",3181.2394,3181.2394,3287.2535
2010/2/11,3216.688,3238.349,3207.165,3220.398,3214.13,3579105200,46999712971,0.195016,53.8,80.97,"5,305.33","4,188.76","3,072.19","1,955.61",839.04,"1,099.74",3.96,"6,523.23","5,287.12","4,051.01","2,814.90","1,578.79","1,772.45",2.46,"6,764.75","5,410.24","4,055.73","2,701.22","1,346.71",3181.5586,3181.5586,3274.82085
